,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Dependents,Total_income
0,1,2,1,2,5849,0.0,120.0,360.0,1.0,3,1,0,5849.0
1,1,1,1,2,4583,1508.0,128.0,360.0,1.0,1,0,1,6091.0
2,1,1,1,1,3000,0.0,66.0,360.0,1.0,3,1,0,3000.0
3,1,1,2,2,2583,2358.0,120.0,360.0,1.0,3,1,0,4941.0
4,1,2,1,2,6000,0.0,141.0,360.0,1.0,3,1,0,6000.0
5,1,1,1,1,5417,4196.0,267.0,360.0,1.0,3,1,2,9613.0
6,1,1,2,2,2333,1516.0,95.0,360.0,1.0,3,1,0,3849.0
7,1,1,1,2,3036,2504.0,158.0,360.0,0.0,2,0,3,5540.0
8,1,1,1,2,4006,1526.0,168.0,360.0,1.0,3,1,2,5532.0
9,1,1,1,2,12841,10968.0,349.0,360.0,1.0,2,0,1,23809.0
10,1,1,1,2,3200,700.0,70.0,360.0,1.0,3,1,2,3900.0
11,1,1,1,2,2500,1840.0,109.0,360.0,1.0,3,1,2,4340.0
12,1,1,1,2,3073,8106.0,200.0,360.0,1.0,3,1,2,11179.0
13,1,2,1,2,1853,2840.0,114.0,360.0,1.0,1,0,0,4693.0
14,1,1,1,2,1299,1086.0,17.0,120.0,1.0,3,1,2,2385.0
15,1,2,1,2,4950,0.0,125.0,360.0,1.0,3,1,0,4950.0
16,1,2,2,2,3596,0.0,100.0,240.0,1.0,3,1,1,3596.0
17,2,2,1,2,3510,0.0,76.0,360.0,0.0,3,0,0,3510.0
18,1,1,2,2,4887,0.0,133.0,360.0,1.0,1,0,0,4887.0
19,1,1,1,2,2600,3500.0,115.0,360.0,1.0,3,1,0,6100.0
20,1,1,2,2,7660,0.0,104.0,360.0,0.0,3,0,0,7660.0
21,1,1,1,2,5955,5625.0,315.0,360.0,1.0,3,1,1,11580.0
22,1,1,2,2,2600,1911.0,116.0,360.0,0.0,2,0,0,4511.0
23,1,1,2,2,3365,1917.0,112.0,360.0,0.0,1,0,2,5282.0
24,1,1,1,2,3717,2925.0,151.0,360.0,1.0,2,0,1,6642.0
25,1,1,1,1,9560,0.0,191.0,360.0,1.0,2,1,0,9560.0
26,1,1,1,2,2799,2253.0,122.0,360.0,1.0,2,1,0,5052.0
27,1,1,2,2,4226,1040.0,110.0,360.0,1.0,3,1,2,5266.0
28,1,2,2,2,1442,0.0,35.0,360.0,1.0,3,0,0,1442.0
29,2,2,1,2,3750,2083.0,120.0,360.0,1.0,2,1,2,5833.0
30,1,1,1,2,4166,3369.0,201.0,360.0,1.0,3,0,1,7535.0
31,1,2,1,2,3167,0.0,74.0,360.0,1.0,3,0,0,3167.0
32,1,2,1,1,4692,0.0,106.0,360.0,1.0,1,0,1,4692.0
33,1,1,1,2,3500,1667.0,114.0,360.0,1.0,2,1,0,5167.0
34,1,2,1,2,12500,3000.0,320.0,360.0,1.0,1,0,3,15500.0
35,1,1,1,2,2275,2067.0,120.0,360.0,1.0,3,1,0,4342.0
36,1,1,1,2,1828,1330.0,100.0,360.0,0.0,3,0,0,3158.0
37,2,1,1,2,3667,1459.0,144.0,360.0,1.0,2,1,0,5126.0
38,1,2,1,2,4166,7210.0,184.0,360.0,1.0,3,1,0,11376.0
39,1,2,2,2,3748,1668.0,110.0,360.0,1.0,2,1,0,5416.0
40,1,2,1,2,3600,0.0,80.0,360.0,1.0,3,0,0,3600.0
41,1,2,1,2,1800,1213.0,47.0,360.0,1.0,3,1,0,3013.0
42,1,1,1,2,2400,0.0,75.0,360.0,1.0,3,1,0,2400.0
43,1,1,1,2,3941,2336.0,134.0,360.0,1.0,2,1,0,6277.0
44,1,1,2,1,4695,0.0,96.0,360.0,1.0,3,1,0,4695.0
45,2,2,1,2,3410,0.0,88.0,360.0,1.0,3,1,0,3410.0
46,1,1,1,2,5649,0.0,44.0,360.0,1.0,3,1,1,5649.0
47,1,1,1,2,5821,0.0,144.0,360.0,1.0,3,1,0,5821.0
